label,window_start,lam0,c,total_cost,pnl_variance,premium0
gbm_vol_0.15,2024-03-04,0.03,0.25,0.06181268894869436,0.00436610175839477,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,0.5,0.05617735791456186,0.007541874484109533,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,1.0,0.045160206891508944,0.012459834153311504,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,2.0,0.023680561259370365,0.049836114911317765,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,4.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,8.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.03,16.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,0.25,0.07042062667344504,0.004161512837035026,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,0.5,0.06259622792428127,0.004280461514555072,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,1.0,0.05698526414213046,0.006841715656525524,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,2.0,0.0467339035523925,0.01111366955682986,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,4.0,0.026724692053832884,0.041844549157492646,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,8.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-04,0.3,16.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,0.25,0.0763753431346875,0.004430102935380506,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,0.5,0.07099239689709606,0.0041869870604388975,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,1.0,0.06371834954815568,0.004208611151255385,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,2.0,0.0577352578470282,0.006265104025285554,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,4.0,0.04819479412212266,0.010145530330815866,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,8.0,0.02955241917884712,0.03546528081441899,3.6846818198139877
gbm_vol_0.15,2024-03-04,3.0,16.0,0.0,0.14756774930219138,3.6846818198139877
gbm_vol_0.15,2024-03-07,0.03,0.25,0.12544042457491483,0.002788635238300129,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,0.5,0.10211154818678464,0.005436658854830806,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,1.0,0.09233455760326066,0.013972100874502897,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,2.0,0.09287982425468838,0.0727241640496012,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,4.0,0.09322384035214862,0.21052598038491885,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,8.0,0.09314663641243964,0.22897383755320166,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.03,16.0,0.0931094482869826,0.23619415034434202,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,0.25,0.14593057573066112,0.0018416361799200329,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,0.5,0.12818082981815226,0.002591811386356104,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,1.0,0.10533196329107603,0.005008433529423629,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,2.0,0.09229524260999772,0.012009903311572655,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,4.0,0.09280438978742057,0.060893423226502714,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,8.0,0.09320225946377547,0.2079611833851369,1.9734512283143146
gbm_vol_0.15,2024-03-07,0.3,16.0,0.09316250269038016,0.226002203421272,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,0.25,0.15780090477289346,0.0016096644169361072,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,0.5,0.1472054527267904,0.0018338889760936246,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,1.0,0.1307229516570944,0.002405314324793666,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,2.0,0.10832263067377589,0.00464491171041651,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,4.0,0.09225874580325313,0.010459853475020186,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,8.0,0.09273139617393142,0.05076140545573249,1.9734512283143146
gbm_vol_0.15,2024-03-07,3.0,16.0,0.09318488608092523,0.19422414658537857,1.9734512283143146
gbm_vol_0.15,2024-03-11,0.03,0.25,0.10572546357495285,0.019748210435468618,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,0.5,0.07629296869345563,0.03166811280435923,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,1.0,0.06853268035845181,0.08012747141563874,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,2.0,0.05320836396315619,0.18396669461882348,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,4.0,0.021938992250393054,0.39898097132605764,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,8.0,0.0,0.5455923313878276,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.03,16.0,0.0,0.5455923313878276,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,0.25,0.15754305993103607,0.014625607982313736,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,0.5,0.11129269315714839,0.02002813565418852,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,1.0,0.07686088463220822,0.02920443464779108,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,2.0,0.0696357969336912,0.07148042924288321,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,4.0,0.055409734118992186,0.16582826398240844,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,8.0,0.026466773950168148,0.3716436193881039,2.9639936241932423
gbm_vol_0.15,2024-03-11,0.3,16.0,0.0,0.5455923313878276,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,0.25,0.19145827675961863,0.012501097619282553,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,0.5,0.1620787012979474,0.014317237982600069,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,1.0,0.11660724529277999,0.019445161286415266,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,2.0,0.07738845899813147,0.027075975951841483,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,4.0,0.07066397233307908,0.0637193860367521,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,8.0,0.05745326721193155,0.15078215274583667,2.9639936241932423
gbm_vol_0.15,2024-03-11,3.0,16.0,0.030669994145910623,0.34954243047936134,2.9639936241932423
gbm_vol_0.15,2024-03-13,0.03,0.25,0.10522169693751772,0.006593368746890037,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,0.5,0.07750406957887714,0.01656183131816448,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,1.0,0.04906988340122327,0.026694713899379798,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,2.0,0.02708168161090127,0.06201671667603099,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,4.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,8.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.03,16.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,0.25,0.12899808800328763,0.004742844332970537,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,0.5,0.10787979631784764,0.0061845852475579085,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,1.0,0.08070143701825157,0.014924199449475527,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,2.0,0.05063197014876332,0.025303224817015656,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,4.0,0.030239050633354542,0.05303728811439945,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,8.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-13,0.3,16.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,0.25,0.1490637975524189,0.004308372614484583,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,0.5,0.1307638242384822,0.004711233721239963,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,1.0,0.11035003907873323,0.005867364589619687,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,2.0,0.08366276757770566,0.013336037789144457,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,4.0,0.05208208302966662,0.024374128916974245,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,8.0,0.03316691012089892,0.045896224775244646,1.7730616760054432
gbm_vol_0.15,2024-03-13,3.0,16.0,0.0,0.1648832231938462,1.7730616760054432
gbm_vol_0.15,2024-03-18,0.03,0.25,0.10323566110815321,0.000934959997697327,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,0.5,0.09956381917153226,0.00241848846525138,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,1.0,0.09984190655491441,0.008768061611679917,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,2.0,0.10039808132167875,0.035841041258236714,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,4.0,0.10129577175288093,0.13175037827493605,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,8.0,0.10167136354149656,0.32724160394454027,3.184489751680257
gbm_vol_0.15,2024-03-18,0.03,16.0,0.10145654087632502,0.439206752773678,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,0.25,0.10943326120667862,0.00044738861495436706,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,0.5,0.10383892019969111,0.0008613953421227258,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,1.0,0.09954388524684515,0.0021473712409789056,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,2.0,0.09980203870554019,0.007563547406028225,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,4.0,0.1003183456229303,0.03078289381850595,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,8.0,0.10121161963154263,0.11630785195027915,3.184489751680257
gbm_vol_0.15,2024-03-18,0.3,16.0,0.10165622094578922,0.3059238541927774,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,0.25,0.11743277930638188,0.00030350835447854056,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,0.5,0.11037694166826054,0.0004215019840360401,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,1.0,0.10439893633230266,0.0007993973273975615,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,2.0,0.09952538023039759,0.0019177236407105667,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,4.0,0.09976502867264508,0.0065335168122045645,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,8.0,0.10024432555714007,0.026439891057711763,3.184489751680257
gbm_vol_0.15,2024-03-18,3.0,16.0,0.10112045039702827,0.10249144529694722,3.184489751680257
gbm_vol_0.15,2024-03-19,0.03,0.25,0.1337015826022009,0.007660629108568101,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,0.5,0.10445829021464867,0.015438877789422047,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,1.0,0.06752131183852184,0.03614663144678897,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,2.0,0.018018350951689174,0.10996867730356602,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,4.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,8.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.03,16.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,0.25,0.1621374771335202,0.0043232143876091155,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,0.5,0.13586872002271072,0.007074316707872668,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,1.0,0.10778886285407685,0.014408044108829733,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,2.0,0.07282003018240218,0.03248802941319802,2.3928401105156696
